filename,class,mask_image,bg_modified_image,measurement_image,measurement_json
shirt_badbg2.jpeg,short sleeve top,C:\Users\Afzaal Hamzah\Documents\clothes\stage1\output/mask_image/shirt_badbg2_mask.png,C:\Users\Afzaal Hamzah\Documents\clothes\stage1\output/bg_modified_image/shirt_badbg2_bg_modified.png,C:\Users\Afzaal Hamzah\Documents\clothes\stage1\output/measurement_image/shirt_badbg2_measurement.png,C:\Users\Afzaal Hamzah\Documents\clothes\stage1\output/measurement_json/shirt_badbg2_measurement.json
trousers_badbg2.jpeg,trousers,C:\Users\Afzaal Hamzah\Documents\clothes\stage1\output/mask_image/trousers_badbg2_mask.png,C:\Users\Afzaal Hamzah\Documents\clothes\stage1\output/bg_modified_image/trousers_badbg2_bg_modified.png,C:\Users\Afzaal Hamzah\Documents\clothes\stage1\output/measurement_image/trousers_badbg2_measurement.png,C:\Users\Afzaal Hamzah\Documents\clothes\stage1\output/measurement_json/trousers_badbg2_measurement.json
